Art.code;Omschrijving;Brutoprijs;Korting;Nettoprijs;Per;Eenheid;Groepcode;Art.Fab.;Fabrikant;Type rooster;Breedte
303347;PENSTOEL AXA HABILIS NR.18 VERZINKT  2465-18-22 VERHOOGD;2.35;;1.17;1;st;1164;24651822;AXA;;
303352;RAAMUITZETTER AXAFLEX 196 RVS  2480-29-81 LINKS WEGDRAAIEND;42.15;;21.07;1;st;1163;24802981E;AXA;;
303353;RAAMUITZETTER AXAFLEX 196 RVS  2480-39-81 RECHTS WEGDRAAIEND;42.15;;21.07;1;st;1163;24803981E;AXA;;
303355;RAAMUITZETTER AXAFLEX 14CM RVS  2480-49-81;35.34;;17.67;1;st;1163;24804981;AXA;;
303361;RAAMUITZETTER AXAFIX 84 RVS KLEIN  2488-50-81 NIET WEGDRAAIBAAR;14.97;;7.48;1;st;1163;24885081E;AXA;;
303377;OPVULSET AXAFLEX TBV 2660 AXAFLEX  2660-90-95 RAAM EN KOZIJNDEEL;166.00;;83.00;100;st;1165;26609095;AXA;;
303379;AXAFLEX BEVEILIGER UNIV. SKG*  26802066 ZWART;20.88;;10.44;1;st;1165;26802066G;AXA;;
303382;RAAMUITZETTER AXAFLEX 10MM RVS  2640-10-81E;37.26;;18.63;1;st;1163;26401081E;AXA;;
303385;RAAMUITZETTER AXAFLEX GRIJS  2640-20-49/6;27.44;;13.72;1;st;1163;264020496;AXA;;
303386;RAAMUITZETTER AXA TBV METALEN RAMEN  2642-30-81/E;40.14;;20.07;1;st;1163;26423081E;AXA;;
303387;RAAMUITZETTER AXA TBV METALEN RAMEN  2644-30-81;48.37;;24.18;1;st;1163;26443081;AXA;;
303388;RAAMUITZETTER AXAFLEX RVS  2640-20-81/6;34.71;;17.35;1;st;1163;264020816;AXA;;
303389;RAAMUITZETTER AXAFLEX T-VOET RVS  2644-20-81;48.37;;24.18;1;st;1163;26442081;AXA;;
303390;RAAMUITZETTER AXAFLEX SMAL RVS  2642-10-81/6;38.07;;19.03;1;st;1163;264210816;AXA;;
303394;RAAMUITZETTER AXA AFSLUITBAAR SKG**  2660-20-81/6 RVS;39.78;;19.89;1;st;1163;266020816;AXA;;
303395;RAAMUITZETTER AXA AFSLUITBAAR SKG**  2660-20-74E WIT;50.21;;25.10;1;st;1163;26602074E;AXA;;
303397;RAAMUITZETTER AXA AFSLUITBAAR SKG**  2660-20-56/E ZWART;50.21;;25.10;1;st;1163;26602056E;AXA;;
303399;ONDERLEGPLAAT AXA PVC-ZWART 3MM  2640-91-95 TBV AXAFLEX;112.00;;56.00;100;st;1165;26409195;AXA;;
303400;ONDERLEGPLAAT AXA 2660 AXAFLEX  2660-80-64/E TBV SMAL KOZIJNHOUT;6.60;;3.30;1;st;1165;26608064E;AXA;;
